"Period","Region","Age.Range","Gender","Duration of Hospitalizations Mean","PM10 mean","PM10 max","O3 mean","O3 max","NOX as NO2 mean","NOX as NO2 max","NO mean","NO max","PM2.5 mean","PM2.5 max","CO mean","CO max","Hospitalizations_100000","Ambulatory_100000","Deaths_100000","Month","Season"
"2019-10-01","Norte","6","M",141,13.5086493679308,50,27.6334221545489,111,65.5743202377606,484.19999999,18.2093632891012,278.48599999,NA,NA,560.20298488806,2249,8.14441645675903,1.62328575426812,0.61572907920515,10,"3"
"2019-10-01","Algarve","7","M",1081,16.8595430075,78.29999999,53.5857335086945,96.29999999,15.3327956956586,149.59999999,2.03938171912634,49.89999999,7.12679999704,32.7,NA,NA,20.5074920704364,0,6.60796966714062,10,"3"
"2019-10-01","Centro","7","M",397,19.0452534875808,52,34.0440467997247,98,22.5061983471074,278,5.51515151515152,124,10.7011331444759,38,169.117408893387,1189.99999,20.7487595850248,0.72169598556608,4.19485791610284,10,"3"
"2019-10-01","LVT","7","M",584.714285714286,18.4672377998783,85.5,50.0671547377802,111,41.2860677542954,806.5,10.8518644813514,429.5,8.98990760179104,36.89999999,251.943241337758,1659.99999,20.7714285714286,3.57142857142857,4.74285714285714,10,"3"
"2019-10-01","Madeira","7","M",533,15.1487987958709,43.29999999,65.0812920556258,116.3,53.2191790002086,589.7,17.6876850581157,327.20999999,5.11610511805256,55.39999999,120.843876177658,1723,19.295516745752,0,3.93786056035756,10,"3"
"2019-10-01","Norte","7","M",490.066666666667,13.5086493679308,50,27.6334221545489,111,65.5743202377606,484.19999999,18.2093632891012,278.48599999,NA,NA,560.20298488806,2249,19.647355163728,1.81919955219703,3.35852225020991,10,"3"
"2019-11-01","Algarve","1","F",7.25,25.328296292563,147.19999999,56.1697222179445,87.29999999,13.2083333297778,105.4,1.70374999863889,30.39999999,NA,NA,NA,NA,1.36716613802909,2.50647125305334,0,11,"3"
"2019-11-01","Centro","1","F",14.71875,19.2025747822794,60,43.3635607321131,75,21.5714285714286,193,5.3984962406015,78,9.38364779874214,49,130.252777736111,1296.99999,4.37528191249436,1.39828597203428,0.04510599909788,11,"3"
"2019-11-01","LVT","1","F",17.5744680851064,18.6596688259059,63.2,52.4848554906864,90,37.5848249634627,595.2,9.48200065782429,290.24,7.90775382153686,28.89999999,236.653472583837,1554,5.31428571428571,1.94285714285714,0,11,"3"
"2019-11-01","Madeira","1","F",8.66666666666667,14.0984722192431,61.29999999,72.3630041689847,124.9,56.3919332370862,605.2,18.0411961030181,317.49,4.36284721924306,31.19999999,125.535465910987,1018.99999,3.15028844828605,0,0,11,"3"
"2019-11-01","Norte","1","F",10.5,14.0965034965035,65,39.7246328437917,95,57.6411460368723,574.1,14.8087847156626,310.035,NA,NA,401.180167527933,2604,5.20570948782536,3.19059613769941,0.0559753708368318,11,"3"
"2019-11-01","Algarve","5","F",56,25.328296292563,147.19999999,56.1697222179445,87.29999999,13.2083333297778,105.4,1.70374999863889,30.39999999,NA,NA,NA,NA,1.82288818403879,0.683583069014547,0,11,"3"
"2019-11-01","Centro","5","F",23.7,19.2025747822794,60,43.3635607321131,75,21.5714285714286,193,5.3984962406015,78,9.38364779874214,49,130.252777736111,1296.99999,2.43572395128552,0.4510599909788,0.09021199819576,11,"3"
"2019-11-01","LVT","5","F",24,18.6596688259059,63.2,52.4848554906864,90,37.5848249634627,595.2,9.48200065782429,290.24,7.90775382153686,28.89999999,236.653472583837,1554,1.6,1,0,11,"3"
"2019-11-01","Madeira","5","F",16,14.0984722192431,61.29999999,72.3630041689847,124.9,56.3919332370862,605.2,18.0411961030181,317.49,4.36284721924306,31.19999999,125.535465910987,1018.99999,1.57514422414302,0,0,11,"3"
"2019-11-01","Norte","5","F",29.6428571428571,14.0965034965035,65,39.7246328437917,95,57.6411460368723,574.1,14.8087847156626,310.035,NA,NA,401.180167527933,2604,2.60285474391268,1.0635320458998,0.0279876854184159,11,"3"
"2019-11-01","Algarve","6","F",213,25.328296292563,147.19999999,56.1697222179445,87.29999999,13.2083333297778,105.4,1.70374999863889,30.39999999,NA,NA,NA,NA,2.50647125305334,0.455722046009698,0.455722046009698,11,"3"
"2019-11-01","Centro","6","F",53.7777777777778,19.2025747822794,60,43.3635607321131,75,21.5714285714286,193,5.3984962406015,78,9.38364779874214,49,130.252777736111,1296.99999,2.61614794767704,0.76680198466396,0.04510599909788,11,"3"
"2019-11-01","LVT","6","F",101.142857142857,18.6596688259059,63.2,52.4848554906864,90,37.5848249634627,595.2,9.48200065782429,290.24,7.90775382153686,28.89999999,236.653472583837,1554,3.57142857142857,1.77142857142857,0.228571428571429,11,"3"
"2019-11-01","Madeira","6","F",200,14.0984722192431,61.29999999,72.3630041689847,124.9,56.3919332370862,605.2,18.0411961030181,317.49,4.36284721924306,31.19999999,125.535465910987,1018.99999,7.87572112071512,0,0.393786056035756,11,"3"
"2019-11-01","Norte","6","F",50.7333333333333,14.0965034965035,65,39.7246328437917,95,57.6411460368723,574.1,14.8087847156626,310.035,NA,NA,401.180167527933,2604,4.00223901483347,1.00755667506297,0.139938427092079,11,"3"
"2019-11-01","Algarve","7","F",891,25.328296292563,147.19999999,56.1697222179445,87.29999999,13.2083333297778,105.4,1.70374999863889,30.39999999,NA,NA,NA,NA,16.4059936563491,0.455722046009698,6.15224762113092,11,"3"
"2019-11-01","Centro","7","F",457.363636363636,19.2025747822794,60,43.3635607321131,75,21.5714285714286,193,5.3984962406015,78,9.38364779874214,49,130.252777736111,1296.99999,22.0117275597655,0.36084799278304,4.10464591790708,11,"3"
"2019-11-01","LVT","7","F",660,18.6596688259059,63.2,52.4848554906864,90,37.5848249634627,595.2,9.48200065782429,290.24,7.90775382153686,28.89999999,236.653472583837,1554,21.7142857142857,2.4,3.68571428571429,11,"3"
"2019-11-01","Madeira","7","F",883,14.0984722192431,61.29999999,72.3630041689847,124.9,56.3919332370862,605.2,18.0411961030181,317.49,4.36284721924306,31.19999999,125.535465910987,1018.99999,31.8966705388962,0,7.48193506467936,11,"3"
"2019-11-01","Norte","7","F",478.733333333333,14.0965034965035,65,39.7246328437917,95,57.6411460368723,574.1,14.8087847156626,310.035,NA,NA,401.180167527933,2604,20.8788133221383,1.03554436048139,3.10663308144416,11,"3"
"2019-11-01","Algarve","1","M",12.5,25.328296292563,147.19999999,56.1697222179445,87.29999999,13.2083333297778,105.4,1.70374999863889,30.39999999,NA,NA,NA,NA,3.41791534507273,1.13930511502424,0,11,"3"
"2019-11-01","Centro","1","M",15.2941176470588,19.2025747822794,60,43.3635607321131,75,21.5714285714286,193,5.3984962406015,78,9.38364779874214,49,130.252777736111,1296.99999,5.8637798827244,2.16508795669824,0,11,"3"
"2019-11-01","LVT","1","M",22.8846153846154,18.6596688259059,63.2,52.4848554906864,90,37.5848249634627,595.2,9.48200065782429,290.24,7.90775382153686,28.89999999,236.653472583837,1554,7.02857142857143,2.45714285714286,0.0285714285714286,11,"3"
"2019-11-01","Madeira","1","M",5.5,14.0984722192431,61.29999999,72.3630041689847,124.9,56.3919332370862,605.2,18.0411961030181,317.49,4.36284721924306,31.19999999,125.535465910987,1018.99999,1.96893028017878,0,0,11,"3"
"2019-11-01","Norte","1","M",19.2909090909091,14.0965034965035,65,39.7246328437917,95,57.6411460368723,574.1,14.8087847156626,310.035,NA,NA,401.180167527933,2604,8.25636719843269,3.30254687937308,0.0279876854184159,11,"3"
"2019-11-01","Algarve","5","M",49,25.328296292563,147.19999999,56.1697222179445,87.29999999,13.2083333297778,105.4,1.70374999863889,30.39999999,NA,NA,NA,NA,2.96219329906304,0.455722046009698,0.227861023004849,11,"3"
"2019-11-01","Centro","5","M",17.1111111111111,19.2025747822794,60,43.3635607321131,75,21.5714285714286,193,5.3984962406015,78,9.38364779874214,49,130.252777736111,1296.99999,1.98466396030672,1.08254397834912,0.09021199819576,11,"3"
"2019-11-01","LVT","5","M",43.4285714285714,18.6596688259059,63.2,52.4848554906864,90,37.5848249634627,595.2,9.48200065782429,290.24,7.90775382153686,28.89999999,236.653472583837,1554,2.77142857142857,1.57142857142857,0.0857142857142857,11,"3"
"2019-11-01","Madeira","5","M",31,14.0984722192431,61.29999999,72.3630041689847,124.9,56.3919332370862,605.2,18.0411961030181,317.49,4.36284721924306,31.19999999,125.535465910987,1018.99999,2.75650239225029,0,0,11,"3"
"2019-11-01","Norte","5","M",32.6923076923077,14.0965034965035,65,39.7246328437917,95,57.6411460368723,574.1,14.8087847156626,310.035,NA,NA,401.180167527933,2604,3.41449762104674,1.45535964175763,0.0279876854184159,11,"3"
"2019-11-01","Algarve","6","M",210,25.328296292563,147.19999999,56.1697222179445,87.29999999,13.2083333297778,105.4,1.70374999863889,30.39999999,NA,NA,NA,NA,4.78508148310183,0.455722046009698,1.59502716103394,11,"3"
