"Period","Region","Age.Range","Duration of Hospitalizations Mean","PM10 mean","PM10 max","O3 mean","O3 max","NOX as NO2 mean","NOX as NO2 max","NO mean","NO max","PM2.5 mean","PM2.5 max","CO mean","CO max","Hospitalizations_100000","Ambulatory_100000","Deaths_100000","Month","Season"
"2018-06-01","LVT","1",19.8163265306122,15.7368907358469,62.5,66.1282068348458,153,25.1219942280643,529.79999999,4.91011124632633,190.5,8.63707904700815,41,228.209302325581,790,8.62857142857143,5.02857142857143,0.0285714285714286,6,"2"
"2018-06-01","Madeira","1",9.25,13.8797916634097,41.7,51.7246175201808,94.2,66.2285118180668,264.69999999,27.4593880354103,169.4,2.87722221995139,9.09999999,119.435326842837,3168,5.90679084053634,0,0,6,"2"
"2018-06-01","Norte","1",16.2718446601942,11.9106430155211,90,52.3090277777778,141,65.0012419834816,609.2,21.7019631373878,302.5,NA,NA,269.474635149409,1314.99999,12.1466554715925,6.91295829834873,0.0279876854184159,6,"2"
"2018-06-01","Algarve","5",134,15.122036258689,86.29999999,78.5306406646936,128.8,9.03863319036262,52.7,1.48607242199164,28.3,7.53407407245926,27,NA,NA,4.10149841408728,0.683583069014547,0,6,"2"
"2018-06-01","Centro","5",29.3125,13.9953703703704,45,56.089605734767,121,21.6914366595895,306,5.46142958244869,179,5.42966360856269,21,152.449771689498,708,3.92422192151556,1.53360396932792,0.04510599909788,6,"2"
"2018-06-01","LVT","5",46,15.7368907358469,62.5,66.1282068348458,153,25.1219942280643,529.79999999,4.91011124632633,190.5,8.63707904700815,41,228.209302325581,790,5.94285714285714,2.11428571428571,0.0857142857142857,6,"2"
"2018-06-01","Madeira","5",51,13.8797916634097,41.7,51.7246175201808,94.2,66.2285118180668,264.69999999,27.4593880354103,169.4,2.87722221995139,9.09999999,119.435326842837,3168,6.30057689657209,0,0,6,"2"
"2018-06-01","Norte","5",25.6,11.9106430155211,90,52.3090277777778,141,65.0012419834816,609.2,21.7019631373878,302.5,NA,NA,269.474635149409,1314.99999,5.34564791491744,1.90316260845228,0.0839630562552477,6,"2"
"2018-06-01","Algarve","6",198.5,15.122036258689,86.29999999,78.5306406646936,128.8,9.03863319036262,52.7,1.48607242199164,28.3,7.53407407245926,27,NA,NA,9.11444092019395,0.683583069014547,1.13930511502424,6,"2"
"2018-06-01","Centro","6",96.3888888888889,13.9953703703704,45,56.089605734767,121,21.6914366595895,306,5.46142958244869,179,5.42966360856269,21,152.449771689498,708,8.52503382949932,1.89445196211096,0.36084799278304,6,"2"
